α,ρ,s,pfix,f
0.03,0.006,0.03,"[0.41891405969075873, 0.475093984962406, 0.5369091874668083, 0.5884520884520884, 0.6571428571428571, 0.7421150278293135, 0.8178357803153888]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.0,0.03,0.03,"[0.5447761194029851, 0.6455026455026455, 0.7248322147651006, 0.7785714285714286, 0.8780487804878049, 0.9172413793103448, 0.9263803680981595]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.03,0.0015,0.03,"[0.44538834951456313, 0.4930232558139535, 0.577570093457944, 0.6716697936210131, 0.7629482071713147, 0.8229755178907722, 0.8948306595365418]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.09,0.006,0.03,"[0.2905457340507302, 0.3874745417515275, 0.47878063359234907, 0.5563709139426284, 0.6691068814055637, 0.7315573770491803, 0.8387096774193549]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.0,0.0015,0.03,"[0.8398058252427184, 0.8757763975155279, 0.8822170900692841, 0.9181585677749361, 0.9389920424403183, 0.9649532710280374, 0.9789272030651341]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.03,0.03,0.03,"[0.3351926977687627, 0.37896253602305474, 0.44667274384685507, 0.5015806111696522, 0.6064441887226697, 0.6388888888888888, 0.7443237907206318]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.009999999999999998,0.0015,0.03,"[0.6068075117370892, 0.6308539944903582, 0.6814024390243902, 0.7184300341296929, 0.775206611570248, 0.8132231404958677, 0.8946608946608947]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.09,0.03,0.03,"[0.2571247625079164, 0.3309222423146474, 0.42072341582812073, 0.5113107119095143, 0.6057692307692307, 0.7224222585924713, 0.8068922694815275]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.009999999999999998,0.006,0.03,"[0.5173370319001387, 0.5243682310469314, 0.5927889713679746, 0.6326987681970885, 0.6835443037974683, 0.7421171171171171, 0.8272458045409674]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.09,0.0015,0.03,"[0.27017543859649124, 0.37709923664122136, 0.4601113172541744, 0.5426195426195426, 0.6610978520286396, 0.7443946188340808, 0.8571428571428571]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.009999999999999998,0.03,0.03,"[0.4033057851239669, 0.5294117647058824, 0.5480225988700564, 0.5811965811965812, 0.6391752577319587, 0.6190476190476191, 0.6968215158924206]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.0,0.006,0.03,"[0.6949152542372882, 0.7373737373737373, 0.8252148997134671, 0.8700361010830325, 0.8992537313432836, 0.9507692307692308, 0.9526184538653366]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
